"","X","Pair_no","Order","Family_first","Family_last","blen_first","blen_last","dN_first","dN_last","dS_first","dS_last","N_spp_first","N_spp_last","Host_families_first","Host_families_last","Host_species_first","Host_species_last","Hosts_pgen_first","Hosts_pgen_last","Hosts_mean_first","Hosts_mean_last","Hosts_pd_first","Hosts_pd_last","Age"
"1",1,7,"Lepidoptera","Adelidae","Prodoxidae",0.21031,0.185266,0.047769,0.04082,1.231645,0.98768,364,40,18,8,30,67,0.434782609,0.340909091,1.565217391,2.454545455,28.09808981,34.05287491,1.329704
"2",2,9,"Lepidoptera","Plutellidae","Yponomeutidae",0.173978,0.171731,0.037686,0.034528,0.839952,0.846898,101,457,NA,70,NA,423,NA,0.47005988,NA,2.395209581,47.52007275,29.1174232,0.873995
"3",3,11,"Lepidoptera","Urodidae","Choreutidae",0.23771,0.227249,0.050549,0.046602,1.413157,1.37059,64,374,7,17,10,106,0.666666667,0.533333333,3.333333333,2.366666667,39.546296,66.47174638,1.030398
"4",4,12,"Lepidoptera","Tortricidae","Immidae",0.203804,0.201833,0.041121,0.041568,0.999312,1.006761,10169,246,204,21,2294,26,0.557409225,0.090909091,4.084396467,1.318181818,13.42512521,38.44921825,1.044057
"5",5,13,"Lepidoptera","Lacturidae","Zygaenidae",0.200302,0.215495,0.038813,0.044452,0.995373,1.019839,61,1944,6,59,10,195,0.25,0.490909091,1.375,2.636363636,NA,31.96710252,0.763575
"6",6,14,"Lepidoptera","Dalceridae","Limacodidae",0.24658,0.202998,0.047296,0.035337,1.483721,1.103105,93,1714,11,93,15,545,0.714285714,0.623563218,2.857142857,4.784482759,29.25925875,24.63418631,0.716789
"7",7,15,"Lepidoptera","Hesperiidae","Hedylidae",0.2336335,0.2077195,0.0376635,0.0336435,0.952122,0.8044115,5406,33,106,4,1197,6,0.560734463,0,3.40819209,1,26.8261778,22.2175925,0.843596
"8",8,16,"Lepidoptera","Lycaenidae","Riodinidae",0.330032,0.304254,0.0403935,0.0393135,1.1978435,0.974897,10148,2382,161,NA,1721,NA,0.482264666,NA,3.18212824,NA,27.38307057,33.99164012,0.66624
"9",9,17,"Lepidoptera","Autostichidae","Cosmopterigidae",0.18647,0.162516,0.032936,0.025915,0.809719,0.700787,167,1795,NA,91,NA,451,NA,0.386819484,NA,2.128939828,13.51935225,30.84640563,0.526008
"10",10,18,"Lepidoptera","Pterophoridae","Alucitidae",0.231517,0.21697,0.052807,0.047664,1.2181,1.115971,1106,176,53,9,402,26,0.480769231,0.714285714,2.415384615,2.357142857,33.3161884,32.08858594,0.859381
"11",11,19,"Lepidoptera","Thyrididae","Callidulidae",0.202438,0.197269,0.036148,0.039804,1.23191,1.03613,966,63,42,2,149,2,0.536585366,0,2.426829268,1,31.72915932,NA,0.907243
"12",12,20,"Lepidoptera","Crambidae","Pyralidae",0.30357825,0.29191525,0.04807825,0.0418165,0.91969125,1.02571725,10862,6815,NA,215,NA,2383,NA,0.496632997,NA,3.318742985,15.87298427,16.49680936,0.915711
"13",13,21,"Lepidoptera","Drepanidae","Doidae",0.164087,0.217085,0.029434,0.041932,0.694296,1.002809,1043,8,27,NA,125,NA,0.588235294,NA,3.282352941,NA,29.029259,NA,0.812926
"14",14,22,"Lepidoptera","Nolidae","Euteliidae",0.196209,0.148046,0.037331,0.024126,0.852747,0.647048,209,505,67,NA,429,NA,0.479553903,NA,3.163568773,NA,51.74853919,32.02913448,0.554441
"15",15,23,"Lepidoptera","Epicopeiidae","Sematuridae",0.15395,0.180849,0.025191,0.036563,0.688818,0.758849,34,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715195
"16",16,24,"Lepidoptera","Geometridae","Uraniidae",0.316874,0.2884585,0.044929,0.0402415,0.999773,0.9057235,26997,741,187,14,1844,58,0.579710145,0.325581395,4.341694537,1.860465116,30.56360927,29.0596065,0.782156
"17",17,25,"Lepidoptera","Eupterotidae","Brahmaeidae",0.167411,0.157416,0.024278,0.025046,0.789388,0.66508,416,89,41,2,101,3,0.441860465,0.5,3.139534884,1.5,31.2621578,35.923612,0.60878
"18",18,26,"Lepidoptera","Sphingidae","Saturniidae",0.25256425,0.308925438,0.036710875,0.043369938,0.802945375,1.00004825,2135,1806,123,149,1251,1577,0.735211268,0.732110092,7.369014085,8.249541284,27.8760226,43.52248409,0.659579
